variant,evidence_file,baseline,unquantized,scope,transform,bits,permutation,module_count,parameter_count,weight_relative_mse_parameter_weighted,calibration_output_relative_mse_parameter_weighted,metadata_bits,adjacent_abs_cosine_before_mean,adjacent_abs_cosine_after_mean,input_adjacent_abs_cosine_before_mean,input_adjacent_abs_cosine_after_mean,output_adjacent_abs_cosine_before_mean,output_adjacent_abs_cosine_after_mean,perplexity,fp16_baseline_perplexity_same_protocol,perplexity_delta_vs_fp16,eval_input_tokens,eval_token_offset,eval_sequence_length,eval_seconds,input_tokens_per_second,calibration_tokens,calibration_samples_per_module,model,num_attention_heads,num_key_value_heads,uses_gqa,fake_quantization_only,packed_integer_kernel
qproj_output_head_rdft_q3_8192,runs\formal_8192\qproj_output_head_rdft_q3_8192.json,False,False,q_proj_output_head,rdft,3,none,32,536870912,0.0823845689097942,0.018405470857946048,0.0,,,,,,,6.244251521607211,6.195575096408451,0.04867642519876014,8192,0,2048,1.297599771991372,6313.194697489874,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_output_head_rdft_q3_screen,runs\screen\qproj_output_head_rdft_q3.json,False,False,q_proj_output_head,rdft,3,none,32,536870912,0.0823845689097942,0.018334051083216597,0.0,,,,,,,3.966624581132433,,,2048,0,2048,0.2965634419815615,6905.773639244894,256,16,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_output_head_spectral_dct_q3_screen,runs\screen\qproj_output_head_spectral_dct_q3.json,False,False,q_proj_output_head,dct,3,spectral,32,536870912,0.08236916092607384,0.018262216722130273,733349.6034136291,0.07611460034968331,0.07103232567897066,,,,,3.971792978723222,,,2048,0,2048,0.32412649504840374,6318.520797548994,256,16,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_two_sided_dct_q3_8192,runs\additional_8192\qproj_two_sided_dct_q3_8192.json,False,False,q_proj_two_sided,dct,3,none,32,536870912,0.07462407913335438,0.017650316800335956,0.0,,,,,,,6.274037139889206,6.195575096408451,0.07846204348075503,8192,0,2048,1.3503844789229333,6066.420436447803,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_two_sided_dct_q4_8192,runs\additional_8192\qproj_two_sided_dct_q4_8192.json,False,False,q_proj_two_sided,dct,4,none,32,536870912,0.013696248857590954,0.003250222304388362,0.0,,,,,,,6.215292622563584,6.195575096408451,0.01971752615513278,8192,0,2048,1.4956530469935387,5477.206105030179,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_two_sided_dct_unquantized_8192,runs\additional_8192\qproj_two_sided_dct_unquantized_8192.json,False,True,q_proj_two_sided,dct,,none,32,536870912,8.665133956333116e-14,1.127455564679237e-07,0.0,,,,,,,6.195664094745393,6.195575096408451,8.899833694187009e-05,8192,0,2048,1.7540328530594707,4670.38002493004,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,False,False
qproj_two_sided_identity_q3_8192,runs\additional_8192\qproj_two_sided_identity_q3_8192.json,False,False,q_proj_two_sided,identity,3,none,32,536870912,0.08310633011871371,0.018540004873103838,0.0,,,,,,,6.254414889530206,6.195575096408451,0.0588397931217548,8192,0,2048,1.4902041299501434,5497.233456381626,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_two_sided_identity_q4_8192,runs\additional_8192\qproj_two_sided_identity_q4_8192.json,False,False,q_proj_two_sided,identity,4,none,32,536870912,0.01608093403838773,0.0034604007019147847,0.0,,,,,,,6.2056142958343115,6.195575096408451,0.010039199425860623,8192,0,2048,1.8258479590294883,4486.682453206223,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_two_sided_spectral_dct_q3_8192,runs\additional_8192\qproj_two_sided_spectral_dct_q3_8192.json,False,False,q_proj_two_sided,dct,3,spectral,32,536870912,0.0746452756093777,0.01768586605481957,1466699.2068272582,,,0.029470043431501836,0.03209758491721004,0.07611460034968331,0.07103232567897066,6.259463413713256,6.195575096408451,0.06388831730480504,8192,0,2048,1.3448266279883683,6091.491519805671,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_two_sided_spectral_dct_q4_8192,runs\additional_8192\qproj_two_sided_spectral_dct_q4_8192.json,False,False,q_proj_two_sided,dct,4,spectral,32,536870912,0.013699695298355892,0.003238332589341354,1466699.2068272582,,,0.029470043431501836,0.03209758491721004,0.07611460034968331,0.07103232567897066,6.203228451603701,6.195575096408451,0.007653355195250455,8192,0,2048,1.349630061071366,6069.811451515099,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
